stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
20906,VINTAGE NOTEBOOK BEAUTY GIRL,48,101,368.24,4.09
20910,VINTAGE PHOTO ALBUM PARIS DAYS,47,106,769.12,8.38
20913,SET 5 BLUE SPOTTY LID GLASS BOWLS,43,314,898.72,3.8
20914,SET 5 RED RETROSPOT LID GLASS BOWLS,2066,18670,52508.56,3.23
20931,BLUE POT PLANT CANDLE,158,673,2238.07,4.8
20932,PINK POT PLANT CANDLE,81,333,1143.97,4.72
20933,YELLOW POT PLANT CANDLE,53,505,1329.49,4.1
20934,SET 3 POT PLANT CANDLES,75,197,1185.07,7.27
20935,ROUND CACTUS CANDLE,47,300,574.48,3.08
20936,FORKED CACTUS CANDLE,76,333,843.39,3.67
20939,ORANGE CANDLE,1,12,10.2,0.85
20940,SET 6 GARDEN GNOME T LIGHT CANDLES,22,118,342.75,3.48
20941,FROG CANDLE,125,998,896.28,1.77
20942,SET 6 GINGERBREAD TREE T LIGHTS,4,6,7.5,1.25
20943,SET 6 GINGERBREAD STAR T LIGHTS,71,381,540.21,1.67
20950,SET 6 ANGEL T LIGHTS WHITE GOLD,84,687,353.39,0.75
20952,PORCELAIN CHERUB BELL SMALL,24,329,150.72,0.68
20953,PORCELAIN CHERUB BELL LARGE,9,33,54.45,1.65
20954,USB OFFICE MIRROR BALL,3,3,25.59,8.53
20956,PORCELAIN T LIGHT HOLDERS ASSORTED,241,2338,3083.82,1.76
20957,PORCELAIN HANGING BELL SMALL,15,126,184.61,1.58
20958,PORCELAIN HANGING BELL LARGE,10,38,70.5,1.92
20960,WATERMELON BATH SPONGE,218,1900,2550.84,1.66
20961,STRAWBERRY BATH SPONGE,518,3530,4687.65,1.71
20963,APPLE BATH SPONGE,515,3459,4676.15,1.76
20964,POLYESTER FILLER PAD 60X40CM,6,20,51.0,2.55
20966,SANDWICH BATH SPONGE,424,3007,4265.24,1.8
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,300,1055,3997.34,3.99
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,20,43,185.11,4.75
20969,RED FLORAL FELTCRAFT SHOULDER BAG,615,3237,12066.52,4.24
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,577,2490,9387.29,4.14
20971,PINK BLUE FELT CRAFT TRINKET BOX,1163,22260,28580.97,1.41
20972,PINK CREAM FELT CRAFT TRINKET BOX,1411,20496,24785.31,1.4
20973,12 PENCIL SMALL TUBE WOODLAND,679,9863,6773.95,0.78
20974,12 PENCILS SMALL TUBE SKULL,850,13219,8686.54,0.75
20975,12 PENCILS SMALL TUBE RED RETROSPOT,929,18099,11848.71,0.74
20976,12 PENCILS SMALL TUBE POSY,76,549,376.34,0.75
20977,36 PENCILS TUBE WOODLAND,489,3792,5069.99,1.57
20978,36 PENCILS TUBE SKULLS,565,4117,5438.57,1.59
20979,36 PENCILS TUBE RED RETROSPOT,711,8156,10271.81,1.57
20980,36 PENCILS TUBE POSY,59,233,282.31,1.4
20981,12 PENCILS TALL TUBE WOODLAND,515,4718,4069.16,0.96
20982,12 PENCILS TALL TUBE SKULLS,585,4851,4243.8,0.96
20983,12 PENCILS TALL TUBE RED RETROSPOT,654,6280,5469.08,0.96
20984,12 PENCILS TALL TUBE POSY,251,5867,1940.96,0.54
20985,HEART CALCULATOR,300,2370,3047.99,1.54
20986,BLUE CALCULATOR RULER,209,1217,1530.95,1.55
20987,GEISHA GIRL CHOPSTICKS SET 5,22,131,288.35,3.02
20988,TRELLIS FLOWER CHOPSTICKS SET 5,9,24,46.8,1.95
20989,URBAN CHIC CHOPSTICKS SET 5,57,407,782.18,2.27
20990,SPRING FLOWER CHOPSTICKS SET 5,106,895,1706.14,2.25
20991,JAZZ HEARTS MAGNETIC MEMO PAD,32,7084,884.56,0.95
20992,JAZZ HEARTS PURSE NOTEBOOK,451,6151,3220.4,0.69
20993,JAZZ HEARTS MEMO PAD,32,10967,1334.11,0.84
20994,JAZZ HEARTS SPIRAL NOTEPAD,12,47,39.95,0.85
20996,JAZZ HEARTS ADDRESS BOOK,336,6311,1686.79,0.38
20997,ROSE DU SUD CUSHION COVER,83,170,796.74,4.72
20998,ROSE DU SUD OVEN GLOVE,127,324,942.26,2.94
21000,ROSE DU SUD COSMETICS BAG,94,690,1744.98,3.76
21001,ROSE DU SUD WASHBAG,90,141,717.8,4.9
21002,ROSE DU SUD DRAWSTRING BAG,184,417,1507.22,3.54
21003,ROSE DU SUD CUSHION COVER,64,109,647.75,5.93
21004,ROSE DU SUD CHILDS APRON,71,137,625.07,4.79
21007,ETCHED GLASS DROPLET DECORATION,48,1927,914.67,1.18
21008,ETCHED GLASS HEART TREE DECORATION,1,1,2.51,2.51
21009,ETCHED GLASS STAR TREE DECORATION,105,1047,1494.99,1.48
21010,ETCHED GLASS BIRD TREE DECORATION,85,850,1114.76,1.48
21011,GLITTER SNOW PEAR TREE DECORATION,126,1840,1373.8,1.25
21012,ANTIQUE ALL GLASS CANDLESTICK,301,2297,4293.7,2.33
21014,SWISS CHALET TREE DECORATION,194,1850,928.09,0.81
21015,DARK BIRD HOUSE TREE DECORATION,188,1700,771.73,0.77
21016,LIGHT BIRD HOUSE TREE DECORATION,87,834,582.85,0.97
21017,RED BIRD HOUSE TREE DECORATION,87,659,535.89,1.35
21018,BIRD BOX CHRISTMAS TREE DECORATION,44,213,182.71,0.89
21025,SPACE FROG,81,300,396.12,1.52
21026,SPACE OWL,125,549,716.73,1.63
21027,NINJA RABBIT PINK,79,355,433.61,1.25
21028,NINJA RABBIT BLACK,92,323,423.9,1.61
21030,SPACE CADET RED,52,239,290.9,1.2
21031,SPACE CADET BLACK,39,144,176.7,1.29
21032,SPACE CADET WHITE,50,203,252.16,1.4
21033,JUMBO BAG CHARLIE AND LOLA TOYS,573,4590,10132.11,3.34
21034,REX CASH CARRY JUMBO SHOPPER,1996,4002,3801.9,0.95
21035,SET 2 RED RETROSPOT TEA TOWELS,936,5994,18644.78,4.04
21036,SET 2 TEA TOWELS MODERN VINTAGE,1,1,2.55,2.55
21038,SET 4 MODERN VINTAGE COTTON NAPKINS,52,166,355.48,2.22
21039,RED SPOTTY SHOPPING BAG,228,1313,3423.65,2.99
21040,MODERN VINTAGE COTTON SHOPPING BAG,69,894,1125.85,2.43
21041,RED RETROSPOT OVEN GLOVE DOUBLE,530,2666,9049.29,4.08
21042,RED SPOTTY APRON,403,1473,8717.31,6.91
21043,APRON MODERN VINTAGE COTTON,141,677,1921.03,4.29
21051,RIBBONS PURSE,130,754,1486.16,2.17
21054,NURSE S BAG SOFT TOY,183,382,3538.0,9.61
21055,TOOL BOX SOFT TOY,223,386,3839.09,10.47
21056,DOCTOR S BAG SOFT TOY,195,545,4961.33,9.7
21058,PARTY INVITES WOODLAND,279,2396,2055.59,1.0
21059,PARTY INVITES DINOSAURS,221,1596,1348.56,0.9
21060,PARTY INVITES BALLOON GIRL,151,1276,952.55,0.94
21061,PARTY INVITES FOOTBALL,165,1396,1046.56,0.97
21062,PARTY INVITES SPACEMAN,137,1053,875.87,0.87
21063,PARTY INVITES JAZZ HEARTS,238,1456,1256.27,0.94
21064,BOOM BOX SPEAKER BOYS,174,884,4432.92,5.5
21065,BOOM BOX SPEAKER GIRLS,122,608,1455.36,4.92
21066,VINTAGE RED MUG,131,2284,1494.67,1.28
21067,VINTAGE RED TEATIME MUG,267,4763,3830.67,1.51
21068,VINTAGE BILLBOARD LOVE HATE MUG,376,4066,4224.63,1.58
21069,VINTAGE BILLBOARD TEA MUG,282,5099,5404.36,1.69
21070,VINTAGE BILLBOARD MUG,232,2034,2083.46,1.58
21071,VINTAGE BILLBOARD DRINK ME MUG,477,4269,4998.32,1.63
21076,SET 20 COLLAGE PAPER NAPKIN,94,843,714.55,0.98
21077,SET 20 WOODLAND PAPER NAPKINS,195,2790,2058.1,0.92
21078,SET 20 STRAWBERRY PAPER NAPKINS,755,7211,6181.25,1.11
21080,SET 20 RED RETROSPOT PAPER NAPKINS,2156,31076,25416.93,1.03
21081,SET 20 POSIES PAPER NAPKINS,4,4,3.4,0.85
21082,SET 20 FRUIT SALAD PAPER NAPKINS,165,7183,1960.45,1.07
21084,SET 6 COLLAGE PAPER CUPS,227,2929,1008.81,0.57
21085,SET 6 WOODLAND PAPER CUPS,68,13731,1872.68,0.77
21086,SET 6 RED SPOTTY PAPER CUPS,854,16658,10781.81,0.89
21087,SET 6 POSIES PAPER CUPS,33,260,168.08,0.75
21088,SET 6 FRUIT SALAD PAPER CUPS,137,16615,1816.73,0.47
21089,SET 6 GREEN SPRING PAPER CUPS,40,323,112.54,0.5
21090,SET 6 COLLAGE PAPER PLATES,279,3107,1729.09,0.73
21091,SET 6 WOODLAND PAPER PLATES,48,13700,1868.7,1.03
21092,SET 6 STRAWBERRY PAPER PLATES,28,12846,1571.5,1.11
21094,SET 6 RED SPOTTY PAPER PLATES,990,19633,15334.03,0.99
21095,SET 6 POSIES PAPER PLATES,41,295,274.57,1.01
21096,SET 6 FRUIT SALAD PAPER PLATES,143,15919,2711.71,0.66
21097,SET 6 GREEN SPRING PAPER PLATE,7,32,27.2,0.85
21098,CHRISTMAS TOILET ROLL,616,8537,13263.93,1.64
21099,SET 6 STRAWBERRY PAPER CUPS,34,13290,1516.64,0.76
21100,CHARLIE AND LOLA CHARLOTTE BAG,270,2540,3795.0,2.23
21102,CANDLE IN JAR COLLAGE VANILLA,20,82,221.08,3.06
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,170,790,2419.68,3.7
21107,CREAM SLICE FLANNEL PINK SPOT,315,2302,6624.77,3.64
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,615,12962,25407.27,3.0
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,227,1173,4476.49,6.66
21110,LARGE CAKE TOWEL PINK SPOTS,333,1640,7729.37,7.42
21111,SWISS ROLL TOWEL CHOCOLATE SPOTS,216,1379,3187.16,3.5
21112,SWISS ROLL TOWEL PINK SPOTS,190,2222,5484.26,3.36
21114,LAVENDER SCENTED FABRIC HEART,505,5666,7306.14,1.81
21115,ROSE CARAVAN DOORSTOP,433,1247,7955.84,7.74
21116,OWL DOORSTOP,535,1355,7900.01,6.77
21117,BLOND DOLL DOORSTOP,26,328,502.08,1.91
21118,SHOPPING BAG DOORSTOP,7,69,104.25,2.54
21119,GLOW IN THE DARK SHOT GLASSES,3,3,41.01,13.67
21120,BOOMBOX IPOD CLASSIC,1,1,16.98,16.98
21121,SET 10 RED POLKADOT PARTY CANDLES,882,15215,18442.7,1.36
21122,SET 10 PINK POLKADOT PARTY CANDLES,819,12209,14844.78,1.34
21123,SET 10 IVORY POLKADOT PARTY CANDLES,256,2751,3393.06,1.24
21124,SET 10 BLUE SPOTTY PARTY CANDLES,641,10029,12172.79,1.3
21125,SET 6 FOOTBALL CELEBRATION CANDLES,253,2123,2211.38,1.31
21126,SET OF 6 GIRLS CELEBRATION CANDLES,289,2325,2349.22,1.34
21127,COLOURFUL FISHING GNOME,50,297,998.03,7.34
21128,GOLD FISHING GNOME,57,126,841.63,9.54
21129,SILVER FISHING GNOME,60,124,949.44,9.01
21130,COLOURFUL STANDING GNOME,49,721,1200.93,3.99
21131,GOLD STANDING GNOME,50,276,1098.86,5.77
21132,SILVER STANDING GNOME,47,93,476.61,5.72
21133,PAINTED BIRD ASSORTED CHRISTMAS,42,410,712.91,2.17
21134,VICTORIAN METAL POSTCARD CHRISTMAS,48,377,646.44,2.16
21135,VICTORIAN METAL POSTCARD SPRING,416,5985,8567.24,2.01
21136,PAINTED METAL PEARS ASSORTED,747,10496,17451.45,1.97
21137,BLACK RECORD COVER FRAME,636,18739,65189.29,4.15
21143,ANTIQUE GLASS HEART DECORATION,187,2088,4149.15,2.29
21144,PINK POODLE HANGING DECORATION,61,543,287.47,1.04
21145,ANTIQUE GLASS PLACE SETTING,49,869,1256.21,3.41
21146,ANTIQUE GLASS RIDGED HANGING BALL,58,789,1513.67,2.18
21147,JINGLE BELLS TREE DECORATION,119,477,870.48,2.12
21153,RED SPOTTY TABLECLOTH,139,393,4294.69,11.8
21154,RED RETROSPOT OVEN GLOVE,921,8095,11694.95,1.77
21155,RED RETROSPOT PEG BAG,976,6665,16343.09,2.84
21156,RETROSPOT CHILDRENS APRON,935,9137,17002.28,2.24
21157,RED SPOTTY WASHBAG,177,689,1616.95,2.9
21158,MOODY GIRL DOOR HANGER,321,2587,1792.66,1.26
21159,MOODY BOY DOOR HANGER,251,2105,1445.37,1.34
21160,KEEP OUT GIRLS DOOR HANGER,58,794,557.49,1.51
21161,KEEP OUT BOYS DOOR HANGER,211,2360,1806.05,1.68
21162,TOXIC AREA DOOR HANGER,287,2402,1655.88,1.27
21163,DO NOT TOUCH MY STUFF DOOR HANGER,264,2800,1757.92,1.34
21164,HOME SWEET HOME METAL SIGN,723,5981,16626.41,3.27
21165,BEWARE OF THE CAT METAL SIGN,984,9360,15167.38,2.12
21166,COOK WITH WINE METAL SIGN,1435,19932,38138.86,2.28
21167,WHITE SAGE INCENSE,114,2440,587.52,0.33
21169,YOU RE CONFUSING ME METAL SIGN,784,8856,14262.61,2.13
21171,BATHROOM METAL SIGN,261,1845,2578.27,1.67
21172,PARTY METAL SIGN,987,7685,11382.16,1.91
21173,LOO ROLL METAL SIGN,78,340,607.96,2.21
21174,POTTERING IN THE SHED METAL SIGN,1146,9696,19593.81,2.51
21175,GIN TONIC DIET METAL SIGN,1671,20676,43851.48,2.56
21179,NO JUNK MAIL METAL SIGN,514,4284,3517.9,1.33
21181,PLEASE ONE PERSON METAL SIGN,1828,24732,50117.14,2.37
21185,HOME SWEET HOME BLACKBOARD,44,132,876.29,7.37
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,375,5272,8532.17,2.03
21187,WHITE BELL HONEYCOMB PAPER GARLAND,148,1344,2243.78,2.02
21188,3D HEARTS HONEYCOMB PAPER GARLAND,132,912,2771.34,3.58
21189,WHITE HONEYCOMB PAPER GARLAND,124,797,1698.88,2.45
21190,PINK HEARTS PAPER GARLAND,115,806,1337.59,1.98
21191,LARGE WHITE HONEYCOMB PAPER BELL,202,1479,3408.61,2.89
21192,WHITE BELL HONEYCOMB PAPER,222,2167,3885.64,2.35
21193,WHITE HONEYCOMB PAPER FAN,23,111,274.37,2.84
21194,PINK HONEYCOMB PAPER FAN,97,578,751.5,2.03
21195,PINK HONEYCOMB PAPER BALL,151,997,2122.66,2.98
21196,ROUND WHITE CONFETTI IN TUBE,23,178,306.89,1.94
21197,MULTICOLOUR CONFETTI IN TUBE,46,453,661.81,1.63
21198,WHITE HEART CONFETTI IN TUBE,119,1282,1472.3,1.75
21199,PINK HEART CONFETTI IN TUBE,150,1305,1495.7,1.87
21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,127,1421,2065.16,2.02
21201,TROPICAL HONEYCOMB PAPER GARLAND,242,2741,6517.16,2.98
21202,DOLLY HONEYCOMB GARLAND,66,854,1103.48,1.78
21203,BUTTERFLIES HONEYCOMB GARLAND,148,1539,2527.0,2.04
21204,DAISIES HONEYCOMB GARLAND,207,1608,2682.99,1.99
21205,MULTICOLOUR 3D BALLS GARLAND,149,669,1746.97,2.92
21206,STRAWBERRY HONEYCOMB GARLAND,240,2155,3067.9,1.86
21207,SKULL AND CROSSBONES GARLAND,283,3601,5597.42,1.76
21208,PASTEL COLOUR HONEYCOMB FAN,122,1078,976.91,1.64
21209,MULTICOLOUR HONEYCOMB FAN,137,1476,1368.04,1.75
21210,SET OF 72 RETROSPOT PAPER DOILIES,1165,15118,21727.19,1.77
21211,SET OF 72 SKULL PAPER DOILIES,238,2405,3365.64,1.67
21212,PACK OF 72 RETROSPOT CAKE CASES,3181,94884,51825.15,0.71
21213,PACK OF 72 SKULL CAKE CASES,1505,40263,21390.76,0.74
21214,SET OF 72 IVORY PAPER DOILIES,202,2006,2920.82,1.99
21215,IVORY PAPER CUP CAKE CASES,295,4349,2533.88,0.87
21216,SET 3 RETROSPOT TEA COFFEE SUGAR,809,3884,20169.0,6.91
21217,RED RETROSPOT ROUND CAKE TINS,930,2904,29769.24,11.67
21218,RED SPOTTY BISCUIT TIN,902,5256,20800.31,5.26
21219,SET 4 BADGES BALLOON GIRL,178,1013,1303.27,1.55
21220,SET 4 BADGES DOGS,160,659,888.68,1.64
21221,SET 4 BADGES CUTE CREATURES,107,535,709.66,1.5
21222,SET 4 BADGES BEETLES,134,621,804.65,1.52
21223,SET 4 BADGES WOODLAND ANIMAL,44,492,587.08,1.43
21224,SET 4 SKULL BADGES,316,2171,2691.91,1.25
21225,POCKET MIRROR BUTTERFLY,2,2,2.5,1.25
21226,POCKET MIRROR WOODLAND,38,213,230.55,1.07
21228,POCKET MIRROR GLAMOROUS,32,97,122.57,1.29
21231,SWEETHEART CERAMIC TRINKET BOX,1510,19428,24128.86,1.5
21232,STRAWBERRY CERAMIC TRINKET BOX,2478,37997,49300.57,1.53
21238,RED RETROSPOT CUP,913,9477,8164.0,1.02
21239,PINK POLKADOT CUP,757,7369,6438.39,1.06
21240,BLUE POLKADOT CUP,772,7581,6535.74,1.05
21241,GREEN SPOTTY CUP,261,2213,1869.07,0.98
21242,RED RETROSPOT PLATE,658,7085,11917.73,1.99
21243,PINK POLKADOT PLATE,504,5636,9287.7,2.01
21244,BLUE POLKADOT PLATE,449,5045,8279.07,1.95
21245,GREEN POLKADOT PLATE,308,2567,4268.36,1.93
21246,RED RETROSPOT BIG BOWL,209,749,3685.63,5.09
21247,SET OF RED SALAD SERVERS,81,422,664.73,1.89
21248,DOOR HANGER MUM DADS ROOM,158,1043,1299.55,1.69
21249,WOODLAND HEIGHT CHART STICKERS,259,1661,4770.53,3.67
21250,SET OF SKULL WALL STICKERS,60,402,997.55,3.23
21251,DINOSAUR HEIGHT CHART STICKER SET,132,595,1683.93,3.52
21252,SET OF MEADOW FLOWER STICKERS,22,168,408.66,3.36
21253,SET OF PICTURE FRAME STICKERS,122,332,1225.17,4.6
21255,FRENCH BOTTLE LAVENDER,96,476,860.08,2.39
21256,FRENCH BOTTLE BRASSERIE DES ARTIST,65,326,588.64,2.42
21257,VICTORIAN SEWING BOX MEDIUM,533,1549,13968.48,10.5
21258,VICTORIAN SEWING BOX LARGE,527,1505,21386.56,17.01
21259,VICTORIAN SEWING BOX SMALL,656,2293,13843.92,6.93
21260,FIRST AID TIN,538,3512,11564.43,3.81
21261,GREEN GOOSE FEATHER CHRISTMAS TREE,77,283,1146.12,6.39
21262,WHITE GOOSE FEATHER CHRISTMAS TREE,132,606,2366.02,6.07
21263,GREEN GOOSE FEATHER TREE 60CM,57,299,658.29,3.06
21264,WHITE GOOSE FEATHER TREE 60CM,68,391,917.85,3.47
21265,PINK GOOSE FEATHER TREE 60CM,34,321,705.59,3.59
21266,VINTAGE SILVER TINSEL REEL,9,23,98.9,4.3
21267,VINTAGE PINK TINSEL REEL,10,24,74.6,3.42
21268,VINTAGE BLUE TINSEL REEL,52,397,261.66,1.29
21269,ANTIQUE CREAM CUTLERY SHELF,65,114,1036.84,9.41
21270,ANTIQUE CREAM CUTLERY CUPBOARD,52,76,874.43,12.02
21272,SALLE DE BAIN HOOK,344,2348,3109.83,1.64
21274,EMBOSSED HEART 3 DRAWER SHELF,106,175,2420.69,14.66
21275,ZINC TOP 2 DOOR WOODEN SHELF,55,249,1714.48,14.02
21276,TWO EMBOSSED HEART MINI DRAWERS,29,677,1558.94,4.25
21277,FRENCH STYLE EMBOSSED HEART CABINET,48,54,1309.39,24.66
21278,VINTAGE KITCHEN PRINT PUDDINGS,119,2758,1654.45,3.51
21279,VINTAGE KITCHEN PRINT FRUITS,101,3527,1621.83,3.6
21280,VINTAGE KITCHEN PRINT VEGETABLES,70,3333,1800.44,2.99
21281,VINTAGE KITCHEN PRINT SEAFOOD,67,3680,1716.8,3.47
21282,NATURAL BARK CANDLE LARGE,69,356,1522.28,4.77
21283,NATURAL BARK CANDLE SMALL,82,512,1629.2,3.68
21284,RETROSPOT CANDLE SMALL,140,1547,1668.72,1.96
21285,RETROSPOT CANDLE MEDIUM,99,1007,1362.62,2.32
21286,RETROSPOT CANDLE LARGE,101,1006,1623.01,2.91
21287,SCENTED VELVET LOUNGE CANDLE,93,4107,1860.0,0.85
21288,STRIPEY CHOCOLATE NESTING BOXES,224,982,2557.47,3.34
21289,LARGE STRIPES CHOCOLATE GIFT BAG,102,1413,1549.31,1.31
21290,LARGE SPOTTY CHOCOLATE GIFT BAG,1,2,2.5,1.25
21291,SMALL SPOTTY CHOCOLATE GIFT BAG,153,2411,2077.93,0.97
21292,SMALL STRIPES CHOCOLATE GIFT BAG,91,2449,1427.11,0.81
21293,MIRRORED DOVE WALL DECORATION,86,343,872.34,3.01
21294,ETCHED GLASS COASTER,141,2246,1653.75,1.13
21298,EDWARDIAN 2 DRAWER WALL CABINET,14,52,755.8,19.38
21299,EDWARDIAN TOILET ROLL UNIT,34,166,966.35,11.02
21300,ANTIQUE EDWARDIAN DRESSER,12,53,841.7,23.48
21303,FILIGREE WALL MIRROR ANTIQUE WHITE,30,96,985.54,15.43
21304,ARCHED GREY MIRROR,18,86,591.58,11.13
21306,SET 4 DAISY MIRROR MAGNETS,68,681,342.8,1.4
21307,SET 4 BUTTERFLY MIRROR MAGNETS,72,749,650.07,2.13
21308,LOUVRE VANITY MIRROR,6,132,705.9,12.16
21309,LOUVRE CHALKBOARD,5,49,325.6,9.16
21310,CAPIZ CHANDELIER,4,6,179.7,29.95
21311,SET 4 BIRD MIRROR MAGNETS,95,701,539.67,1.57
21312,LARGE CHUNKY GLASS ROMAN BOWL,26,299,1179.17,6.82
21313,GLASS HEART T LIGHT HOLDER,417,6711,5771.11,1.13
21314,SMALL GLASS HEART TRINKET POT,1072,11426,24641.39,2.78
21316,SMALL CHUNKY GLASS ROMAN BOWL,47,693,1146.11,3.01
21317,GLASS SPHERE CANDLE STAND MEDIUM,76,357,1453.4,5.97
21318,GLASS CHALICE BLUE SMALL,94,972,900.42,1.6
21319,GLASS CHALICE GREEN SMALL,65,508,743.61,1.97
21320,GLASS CHALICE GREEN LARGE,57,398,913.34,3.16
21321,GLASS CHALICE BLUE LARGE,18,122,301.8,3.08
21322,GLASS SPHERE CANDLE STAND LARGE,14,301,590.45,4.97
21323,HANGING MEDINA LANTERN LARGE,80,740,2506.89,5.57
21324,HANGING MEDINA LANTERN SMALL,177,1014,2845.71,3.7
21326,AGED GLASS SILVER T LIGHT HOLDER,654,17770,11593.86,0.81
21327,SKULLS WRITING SET,500,1926,3378.51,2.0
21328,BALLOONS WRITING SET,649,2441,4612.63,2.26
21329,DINOSAURS WRITING SET,561,2082,3760.66,2.11
21330,WOODLAND ANIMAL WRITING SET,203,1452,2454.07,2.28
21331,MOROCCAN BEATEN METAL DISH LARGE,30,110,946.68,14.57
21332,MOROCCAN BEATEN METAL MIRROR,50,270,1644.17,11.98
21333,CLASSIC WHITE FRAME,222,1057,3192.09,3.23
21335,LIBRARY LAMP,28,42,989.62,25.33
21336,GOLD WASHBAG,43,1823,527.56,3.44
21337,SILVER WASHBAG,12,33,103.53,3.46
21338,MARAKESH LANTERN SMALL,14,199,873.25,6.31
21339,MARAKESH LANTERN LARGE,13,30,544.5,19.26
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,420,1758,19194.13,13.08
21341,KASBAH LANTERN WITH GLASS,29,72,410.64,7.19
21343,GOLD JEWELERY BOX,3,20,92.0,8.28
21344,MOROCCAN BEATEN METAL DISH,26,166,749.82,8.92
21347,GOTHIC CARRIAGE LANTERN,4,8,47.6,5.95
21348,PINK SPOTS CHOCOLATE NESTING BOXES,134,842,2030.84,3.15
21349,IVY HEART WREATH,172,553,4010.73,8.39
21350,GINGHAM HEART WREATH,44,225,647.75,2.94
21351,CINAMMON ORANGE WREATH,179,1099,3702.75,5.48
21352,EUCALYPTUS PINECONE WREATH,159,880,3110.28,5.29
21353,SILVER SLEIGHBELL WREATH,9,19,160.45,8.99
21354,TOAST ITS BEST MUM,218,2476,2979.46,1.5
21355,TOAST ITS I LOVE YOU,346,3452,4218.05,1.46
21356,TOAST ITS FAIRY FLOWER,354,1592,2014.16,1.5
21357,TOAST ITS DINOSAUR,216,1388,1827.76,1.52
21358,TOAST ITS HAPPY BIRTHDAY,222,1129,1398.71,1.28
21359,RELAX LARGE WOOD LETTERS,75,208,2116.48,14.58
21360,JOY LARGE WOOD LETTERS,100,441,2790.41,10.09
21361,LOVE LARGE WOOD LETTERS,288,556,7361.74,14.29
21363,HOME SMALL WOOD LETTERS,407,984,5296.48,5.97
21364,PEACE SMALL WOOD LETTERS,167,468,3407.72,7.62
21365,MIRRORED WALL ART STARS,79,469,707.92,2.5
21366,MIRRORED WALL ART PHOTO FRAMES,78,238,1140.0,6.05
21367,MIRRORED WALL ART GENTS,60,211,278.48,2.57
21368,MIRRORED WALL ART LADIES,47,201,212.04,1.87
21369,MIRRORED WALL ART SPLODGES,22,133,225.36,2.91
21370,MIRRORED WALL ART FOXY,22,54,251.97,7.36
21371,MIRRORED WALL ART POPPIES,64,404,556.01,2.6
21372,MIRRORED WALL ART TABLE LAMP,51,156,267.01,2.59
21373,MIRRORED WALL ART SNOWFLAKES,61,636,548.89,1.25
21374,MIRRORED WALL ART SKULLS,71,470,809.67,2.9
21375,LARGE CAMPHOR WOOD FIELD MUSHROOM,62,134,817.6,8.06
21376,LARGE TALL CAMPHOR WOOD TOADSTOOL,46,183,849.91,6.0
21377,SMALL CAMPHOR WOOD FIELD MUSHROOM,98,518,742.56,2.52
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,88,560,728.97,2.16
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,125,641,705.46,1.94
21380,WOODEN HAPPY BIRTHDAY GARLAND,656,5031,14593.32,3.41
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,543,5104,8568.0,2.19
21382,SET 4 SPRING FLOWER DECORATION,153,1238,1665.66,2.22
21383,PACK OF 12 STICKY BUNNIES,329,2204,1590.43,0.96
21384,IVORY HANGING DECORATION BUTTERFLY,152,1917,1810.19,1.05
21385,IVORY HANGING DECORATION HEART,709,10832,9358.94,1.05
21386,IVORY HANGING DECORATION EGG,110,1148,680.78,0.84
21387,IVORY HANGING DECORATION RABBIT,4,25,21.25,0.85
21388,IVORY HANGING DECORATION CHICKEN,29,311,290.17,0.92
21389,IVORY HANGING DECORATION BIRD,268,2299,2008.09,1.0
21390,FILIGRIS HEART WITH BUTTERFLY,605,10937,13552.97,1.46
21391,FRENCH LAVENDER SCENT HEART,178,1417,1811.89,1.87
21392,RED SPOTTY PUDDING BOWL,49,7545,1478.13,2.38
21393,BLUE SPOTTY PUDDING BOWL,44,5244,1172.81,2.13
21394,RED POLKADOT BEAKER,150,4005,1864.63,0.79
21395,BLUE POLKADOT BEAKER,115,2968,1401.6,0.91
21396,RED SPOTTY EGG CUP,78,948,1205.25,1.71
21397,BLUE SPOTTY EGG CUP,180,2157,2017.74,1.65
21398,RED POLKADOT COFFEE MUG,126,2295,2231.9,1.89
21399,BLUE POLKADOT COFFEE MUG,118,2378,1550.44,1.53
21400,RED PUDDING SPOON,91,1078,213.07,0.3
21401,BLUE PUDDING SPOON,122,1437,315.7,0.32
21402,RED EGG SPOON,152,1698,333.42,0.37
21403,BLUE EGG SPOON,157,2319,523.07,0.33
21406,SPOTTY CAT DOORSTOP,1,1,8.65,8.65
21407,BROWN CHECK CAT DOORSTOP,455,1294,5883.33,5.25
21408,SPOTTY PINK DUCK DOORSTOP,240,703,3045.31,5.91
21409,SPOTTY COCKEREL DOORSTOP,1,1,4.25,4.25
21410,COUNTRY COTTAGE DOORSTOP GREEN,150,312,1458.28,5.51
